,小区数,人口数,小区编号,坐标x,坐标y
0,8,22907,"['E0033', 'E0009', 'E0013', 'E0010', 'E0010', 'E0011', 'E0011', 'E0011']",66.30050374950943,42.64196838616036
1,9,28388,"['E0007', 'E0007', 'E0014', 'E0006', 'E0024', 'E0022', 'E0022', 'E0022', 'E0044']",70.54017265331738,43.960052413909004
2,9,16135,"['E0009', 'E0025', 'E0034', 'E0027', 'E0009', 'E0044', 'E0044', 'E0044', 'E0045']",68.62600000000188,44.94466677333962
3,9,33258,"['E0018', 'E0008', 'E0021', 'E0006', 'E0015', 'E0022', 'E0022', 'E0049', 'E0049']",70.13317186482831,42.3813333333338
4,5,14003,"['E0015', 'E0015', 'E0016', 'E0016', 'E0049']",72.50889154819932,42.30292591923522
5,4,15780,"['E0030', 'E0023', 'E0020', 'E0019']",70.88704365227723,49.0126666666673
6,8,8540,"['E0012', 'E0004', 'E0012', 'E0012', 'E0011', 'E0011', 'E0044', 'E0046']",66.81499956399207,39.082667103614206
7,8,24986,"['E0026', 'E0005', 'E0004', 'E0014', 'E0009', 'E0010', 'E0034', 'E0047']",68.23349999441479,42.63799998656523
8,13,29475,"['E0036', 'E0038', 'E0038', 'E0038', 'E0036', 'E0003', 'E0036', 'E0036', 'E0036', 'E0001', 'E0003', 'E0003', 'E0003']",67.77948187281201,57.08837373328865
9,6,22702,"['E0043', 'E0043', 'E0037', 'E0044', 'E0044', 'E0045']",67.77775001597517,50.99533336962778
10,10,17175,"['E0005', 'E0017', 'E0009', 'E0050', 'E0022', 'E0022', 'E0047', 'E0046', 'E0046', 'E0050']",69.73830383419427,39.73783906282088
11,9,16211,"['E0006', 'E0006', 'E0029', 'E0026', 'E0026', 'E0024', 'E0020', 'E0020', 'E0022']",69.71042114302557,46.98511612732665
12,2,3303,"['E0028', 'E0028']",65.8477499999997,49.3159999999998
13,11,9003,"['E0004', 'E0010', 'E0012', 'E0011', 'E0011', 'E0010', 'E0011', 'E0011', 'E0011', 'E0011', 'E0011']",66.30823669143484,40.59885378807075
14,9,20539,"['E0027', 'E0028', 'E0009', 'E0010', 'E0041', 'E0020', 'E0044', 'E0044', 'E0044']",67.77207580203537,47.069202771876064
15,15,18225,"['E0022', 'E0016', 'E0016', 'E0047', 'E0047', 'E0047', 'E0019', 'E0047', 'E0047', 'E0019', 'E0047', 'E0047', 'E0047', 'E0049', 'E0049']",71.66090841762161,39.36830591958978
16,6,26274,"['E0037', 'E0039', 'E0037', 'E0037', 'E0041', 'E0032']",70.38427352159653,57.72786460655267
17,1,2413,['E0048'],75.0100000000025,44.2876666666668
18,3,18024,"['E0040', 'E0031', 'E0001']",68.54377850446306,64.76153220085214
19,5,13198,"['E0036', 'E0040', 'E0036', 'E0040', 'E0003']",67.89281102575094,61.02015617592455
20,7,12818,"['E0041', 'E0041', 'E0041', 'E0041', 'E0044', 'E0035', 'E0045']",68.32624314623213,53.582077563458874
21,3,10713,"['E0032', 'E0032', 'E0032']",73.2752500000018,57.1300000000008
22,3,4043,"['E0019', 'E0048', 'E0048']",73.68070838847535,46.480862238443166
23,2,7808,"['E0036', 'E0002']",69.6635000000008,61.6096666666669
24,1,2251,['E0020'],72.8752500000027,52.7230000000003
25,2,1484,"['E0032', 'E0048']",72.8377500000015,49.9763333333334
26,1,1849,['E0032'],72.8207500000018,55.0146666666673
