,小区数,人口数,小区编号,坐标x,坐标y
0,19,28052,"['G0007', 'G0012', 'G0011', 'G0011', 'G0008', 'G0011', 'G0042', 'G0010', 'G0010', 'G0010', 'G0010', 'G0010', 'G0010', 'G0010', 'G0010', 'G0004', 'G0021', 'G0013', 'G0039']",82.3053749068976,42.09216826128103
1,7,8481,"['G0025', 'G0014', 'G0014', 'G0037', 'G0019', 'G0037', 'G0023']",77.4855000000017,28.385104360986674
2,14,20149,"['G0015', 'G0018', 'G0017', 'G0016', 'G0019', 'G0005', 'G0019', 'G0040', 'G0040', 'G0005', 'G0005', 'G0041', 'G0039', 'G0039']",75.44158173050799,42.56388963147353
3,18,17997,"['G0029', 'G0002', 'G0024', 'G0002', 'G0028', 'G0001', 'G0036', 'G0027', 'G0034', 'G0034', 'G0027', 'G0027', 'G0034', 'G0027', 'G0027', 'G0027', 'G0027', 'G0027']",66.80597798617572,35.92460913683564
4,6,18861,"['G0032', 'G0031', 'G0024', 'G0028', 'G0036', 'G0036']",67.70464792326707,29.577819788086437
5,3,8964,"['G0019', 'G0019', 'G0040']",78.1857500000029,30.4460000000001
6,19,25155,"['G0014', 'G0038', 'G0014', 'G0018', 'G0014', 'G0017', 'G0037', 'G0037', 'G0026', 'G0025', 'G0025', 'G0027', 'G0026', 'G0026', 'G0040', 'G0026', 'G0026', 'G0026', 'G0026']",73.98316236751319,33.3177220416069
7,5,23617,"['G0010', 'G0011', 'G0022', 'G0020', 'G0009']",82.0342500146732,48.61700000000009
8,10,11752,"['G0030', 'G0033', 'G0001', 'G0001', 'G0001', 'G0035', 'G0034', 'G0003', 'G0034', 'G0034']",66.12454678772366,32.07697839702862
9,4,9055,"['G0006', 'G0006', 'G0016', 'G0016']",78.492500000003,45.11033331990652
10,8,11453,"['G0017', 'G0017', 'G0016', 'G0037', 'G0023', 'G0026', 'G0026', 'G0039']",74.57675001443795,39.90533335182187
11,1,3122,['G0043'],80.095250000003,50.6106666666663
