,小区数,人口数,小区编号,坐标x,坐标y
0,22,17832,"['H0024', 'H0039', 'H0012', 'H0035', 'H0035', 'H0006', 'H0012', 'H0012', 'H0012', 'H0013', 'H0014', 'H0015', 'H0017', 'H0016', 'H0019', 'H0049', 'H0049', 'H0049', 'H0044', 'H0055', 'H0055', 'H0055']",85.66295354559924,19.065274094163023
1,36,57849,"['H0042', 'H0001', 'H0040', 'H0040', 'H0040', 'H0002', 'H0001', 'H0041', 'H0046', 'H0046', 'H0029', 'H0029', 'H0029', 'H0001', 'H0001', 'H0001', 'H0001', 'H0001', 'H0002', 'H0002', 'H0002', 'H0003', 'H0003', 'H0032', 'H0003', 'H0003', 'H0003', 'H0003', 'H0052', 'H0003', 'H0048', 'H0032', 'H0026', 'H0032', 'H0048', 'H0023']",66.16355420774673,21.840220896269003
2,12,29635,"['H0043', 'H0040', 'H0041', 'H0030', 'H0035', 'H0035', 'H0025', 'H0052', 'H0026', 'H0025', 'H0026', 'H0053']",72.73392271329051,16.756460719737714
3,16,23119,"['H0041', 'H0040', 'H0046', 'H0029', 'H0051', 'H0057', 'H0003', 'H0003', 'H0057', 'H0052', 'H0053', 'H0053', 'H0050', 'H0045', 'H0054', 'H0058']",71.08067957662729,25.87181876558444
4,13,18217,"['H0028', 'H0008', 'H0049', 'H0009', 'H0012', 'H0013', 'H0013', 'H0049', 'H0026', 'H0056', 'H0058', 'H0059', 'H0055']",83.69935152065705,4.542842955403739
5,12,6181,"['H0038', 'H0006', 'H0009', 'H0012', 'H0012', 'H0047', 'H0012', 'H0018', 'H0011', 'H0021', 'H0036', 'H0055']",83.65296499002781,13.34927898032772
6,6,5848,"['H0027', 'H0035', 'H0033', 'H0007', 'H0014', 'H0015']",86.68375004700502,26.43899983490845
7,4,17788,"['H0001', 'H0034', 'H0058', 'H0053']",66.7120000000026,11.1053333333331
8,2,1624,"['H0035', 'H0033']",85.0995000000019,9.13666666666776
9,11,14697,"['H0009', 'H0009', 'H0009', 'H0012', 'H0010', 'H0056', 'H0056', 'H0058', 'H0053', 'H0055', 'H0055']",79.32361125202985,23.509194454156606
10,2,1969,"['H0005', 'H0025']",71.5415000000022,11.0473333333327
11,9,6300,"['H0012', 'H0012', 'H0015', 'H0020', 'H0054', 'H0022', 'H0058', 'H0031', 'H0055']",79.83508047751488,9.879720399794001
12,1,1279,['H0026'],75.1262500000003,5.19800000000004
