,小区数,人口数,小区编号,坐标x,坐标y
0,12,26036,"['C0035', 'C0029', 'C0029', 'C0030', 'C0035', 'C0023', 'C0023', 'C0023', 'C0027', 'C0028', 'C0028', 'C0028']",59.01991334983091,63.1120386908968
1,14,25623,"['C0048', 'C0047', 'C0045', 'C0042', 'C0045', 'C0045', 'C0049', 'C0044', 'C0044', 'C0047', 'C0047', 'C0047', 'C0054', 'C0055']",51.49527156959911,62.17325989791392
2,6,13941,"['C0010', 'C0019', 'C0020', 'C0013', 'C0020', 'C0020']",53.89138352402912,55.884430495367994
3,5,12006,"['C0053', 'C0053', 'C0034', 'C0043', 'C0056']",53.91150001697471,68.6316666666661
4,11,12441,"['C0035', 'C0034', 'C0035', 'C0019', 'C0034', 'C0034', 'C0020', 'C0034', 'C0034', 'C0020', 'C0020']",55.52417319171896,60.805723761035296
5,10,19354,"['C0054', 'C0051', 'C0051', 'C0045', 'C0045', 'C0048', 'C0050', 'C0054', 'C0044', 'C0050']",48.4021099717408,64.38276191087888
6,18,21737,"['C0024', 'C0027', 'C0024', 'C0033', 'C0020', 'C0021', 'C0032', 'C0032', 'C0035', 'C0021', 'C0032', 'C0034', 'C0021', 'C0017', 'C0017', 'C0017', 'C0017', 'C0020']",57.870999978069555,59.00899995767888
7,3,16038,"['C0030', 'C0041', 'C0034']",58.3402500000005,68.8910000000007
8,5,19011,"['C0029', 'C0040', 'C0030', 'C0041', 'C0039']",60.9169999999999,66.0097909655242
9,2,2492,"['C0056', 'C0056']",53.9822500000007,72.235333333334
10,9,12277,"['C0049', 'C0046', 'C0046', 'C0046', 'C0049', 'C0049', 'C0049', 'C0049', 'C0046']",46.20070351679125,60.70613420548706
11,17,24237,"['C0018', 'C0026', 'C0025', 'C0026', 'C0026', 'C0026', 'C0018', 'C0018', 'C0026', 'C0028', 'C0021', 'C0026', 'C0018', 'C0016', 'C0026', 'C0018', 'C0018']",61.458162864544164,56.523256149508455
12,7,13154,"['C0058', 'C0003', 'C0004', 'C0003', 'C0003', 'C0005', 'C0004']",62.08650006788817,49.137000026822264
13,11,24896,"['C0006', 'C0022', 'C0002', 'C0016', 'C0001', 'C0009', 'C0008', 'C0016', 'C0017', 'C0007', 'C0002']",58.896941012862015,51.37742053458513
14,13,16414,"['C0015', 'C0011', 'C0013', 'C0013', 'C0011', 'C0015', 'C0014', 'C0012', 'C0015', 'C0010', 'C0013', 'C0006', 'C0057']",54.33192277630389,51.356489579244666
15,15,22615,"['C0043', 'C0043', 'C0055', 'C0055', 'C0044', 'C0043', 'C0042', 'C0043', 'C0043', 'C0042', 'C0047', 'C0055', 'C0047', 'C0047', 'C0047']",51.55701974943524,66.11052617541401
16,2,8517,"['C0031', 'C0031']",65.0430000000029,65.5423333333332
17,6,9367,"['C0037', 'C0028', 'C0036', 'C0038', 'C0036', 'C0031']",63.39385581419835,59.708765020000975
18,1,1262,['C0047'],51.690500000003,59.0806666666666
19,1,951,['C0052'],47.2410000000032,68.2100000000006
