,小区数,人口数,小区编号,坐标x,坐标y
0,4,9293,"['D0012', 'D0012', 'D0012', 'D0012']",35.04125024071752,46.06633333058237
1,8,13760,"['D0030', 'D0015', 'D0015', 'D0015', 'D0026', 'D0031', 'D0031', 'D0026']",43.127500082006044,45.79266664555114
2,19,40879,"['D0007', 'D0008', 'D0005', 'D0006', 'D0007', 'D0012', 'D0007', 'D0008', 'D0006', 'D0012', 'D0006', 'D0006', 'D0006', 'D0006', 'D0006', 'D0054', 'D0054', 'D0054', 'D0054']",39.026347765157155,47.157661708189956
3,27,36056,"['D0028', 'D0028', 'I0017', 'D0025', 'D0013', 'D0027', 'D0013', 'D0027', 'D0025', 'D0027', 'D0027', 'D0002', 'D0002', 'D0014', 'D0024', 'D0013', 'I0014', 'D0003', 'D0024', 'D0024', 'D0024', 'D0024', 'D0004', 'D0031', 'D0024', 'D0004', 'D0029']",46.78106967223587,45.17431359730247
4,15,21692,"['D0022', 'D0037', 'D0037', 'D0037', 'D0037', 'D0037', 'D0022', 'D0037', 'D0037', 'D0037', 'D0036', 'D0036', 'D0036', 'D0036', 'D0009']",43.910344073877276,53.79995524536449
5,13,25575,"['D0005', 'D0044', 'D0005', 'D0041', 'D0041', 'D0005', 'D0051', 'D0052', 'D0052', 'D0006', 'D0009', 'D0043', 'D0009']",35.62399997699498,50.11233334582391
6,3,15897,"['D0047', 'D0046', 'D0055']",29.820480764570654,40.92390497497827
7,3,8228,"['D0045', 'D0045', 'D0049']",34.19847673292955,42.46281251444155
8,2,7708,"['D0040', 'D0053']",32.5300000000013,52.1740000000008
9,7,14776,"['D0023', 'D0023', 'D0023', 'D0023', 'D0023', 'D0020', 'D0023']",49.76264768958606,56.88197345896248
10,7,19021,"['D0011', 'D0009', 'D0009', 'D0009', 'D0009', 'D0009', 'D0009']",41.65874533267839,48.817820169784326
11,14,14569,"['D0011', 'D0010', 'D0010', 'D0010', 'D0010', 'D0054', 'D0010', 'D0010', 'D0010', 'D0010', 'D0010', 'D0010', 'D0054', 'D0054']",41.491499797103536,45.85866684874755
12,1,6166,['D0046'],28.5500000000027,38.3586666666673
13,7,23035,"['D0042', 'D0051', 'D0042', 'D0005', 'D0037', 'D0042', 'D0009']",39.73899977259042,53.3513333272562
14,6,12678,"['D0003', 'D0003', 'D0004', 'D0034', 'D0034', 'D0034']",50.57999997380551,47.52766662184608
15,2,7888,"['D0048', 'D0048']",20.8642500000025,36.6913333333325
16,16,22196,"['D0032', 'D0025', 'D0033', 'D0025', 'D0033', 'D0032', 'D0035', 'D0024', 'D0032', 'D0035', 'D0035', 'D0024', 'D0036', 'D0018', 'D0036', 'D0029']",48.75982116683335,49.77659071921058
17,9,13796,"['D0019', 'D0022', 'D0016', 'D0016', 'D0034', 'D0018', 'D0018', 'D0018', 'D0018']",47.201045514699935,54.5339152781749
18,8,22747,"['D0038', 'D0038', 'D0021', 'D0017', 'D0021', 'D0038', 'D0021', 'D0001']",45.75541865298402,57.048741652392565
19,5,4749,"['D0036', 'D0036', 'D0029', 'D0036', 'D0036']",45.1590000000017,50.39766690547238
20,3,15385,"['D0056', 'D0057', 'D0057']",30.239000002756484,45.6686666666665
21,2,1736,"['D0020', 'D0020']",51.3387500000029,51.0866666666677
22,1,3640,['D0050'],26.4462500000029,45.2846666666673
23,1,1275,['D0053'],29.5872500000023,51.5530000000008
24,1,1579,['D0043'],34.1860000000018,59.4263333333345
