,小区数,人口数,小区编号,坐标x,坐标y
0,8,19013,"['B0032', 'B0032', 'B0032', 'B0032', 'B0032', 'B0032', 'B0064', 'B0035']",58.8772499740666,20.30733332944466
1,9,14568,"['B0037', 'B0037', 'B0062', 'B0037', 'B0037', 'B0037', 'B0037', 'B0037', 'B0062']",53.288105899604275,14.995718549063964
2,5,14360,"['B0034', 'B0038', 'B0034', 'B0034', 'B0038']",48.183999579249274,17.130999766184022
3,7,13882,"['B0030', 'B0030', 'B0030', 'B0030', 'B0030', 'B0057', 'B0064']",61.37781341110279,28.729236930920152
4,7,26054,"['B0059', 'B0027', 'B0042', 'B0027', 'B0001', 'B0043', 'B0053']",64.5537500000017,51.46950939666792
5,9,19861,"['B0031', 'B0031', 'B0032', 'B0032', 'B0032', 'B0002', 'B0002', 'B0048', 'B0066']",58.4443551113297,28.081779332361847
6,4,12104,"['B0068', 'B0034', 'B0034', 'B0065']",45.30725000750071,15.04866661972806
7,10,23086,"['B0026', 'B0026', 'B0025', 'B0052', 'B0054', 'B0056', 'B0056', 'B0056', 'B0058', 'B0063']",63.22690143813714,47.63116579380966
8,9,30155,"['B0028', 'B0006', 'B0017', 'B0016', 'B0012', 'B0043', 'B0049', 'B0057', 'B0057']",61.497555401148055,46.00571744203384
9,8,12081,"['B0032', 'B0030', 'B0030', 'B0002', 'B0002', 'B0002', 'B0051', 'B0051']",60.06204964580746,30.815600060313752
10,2,4188,"['B0060', 'B0060']",52.6357500000003,22.802333333333493
11,13,20152,"['B0036', 'B0029', 'B0029', 'B0029', 'B0036', 'B0036', 'B0036', 'B0033', 'B0036', 'B0036', 'B0061', 'B0048', 'B0033']",55.03499994147469,26.229999967227567
12,11,32552,"['B0014', 'B0005', 'B0013', 'B0022', 'B0009', 'B0040', 'B0045', 'B0051', 'B0047', 'B0066', 'B0063']",59.23822800220526,43.98914182151067
13,8,42409,"['B0010', 'B0001', 'B0008', 'B0044', 'B0004', 'B0039', 'B0049', 'B0051']",58.68000000690233,46.312333342006866
14,12,27054,"['B0003', 'B0023', 'B0024', 'B0020', 'B0054', 'B0001', 'B0057', 'B0057', 'B0057', 'B0058', 'B0058', 'B0058']",61.18399998471433,42.870333309182115
15,6,12296,"['B0002', 'B0001', 'B0002', 'B0002', 'B0002', 'B0048']",57.44675168603982,30.383330407562937
16,14,19184,"['B0018', 'B0019', 'B0019', 'B0019', 'B0024', 'B0024', 'B0015', 'B0020', 'B0049', 'B0049', 'B0051', 'B0051', 'B0066', 'B0050']",59.17042894654928,41.67416454813831
17,6,8892,"['B0034', 'B0034', 'B0060', 'B0060', 'B0061', 'B0061']",51.093000000001595,16.694165695866086
18,7,21549,"['B0001', 'B0001', 'B0001', 'B0057', 'B0051', 'B0048', 'B0058']",63.02074997770773,35.28866669019277
19,5,7192,"['B0067', 'B0065', 'B0060', 'B0065', 'B0067']",48.7464999983996,20.308
20,13,18496,"['B0018', 'B0007', 'B0045', 'B0045', 'B0051', 'B0051', 'B0047', 'B0047', 'B0047', 'B0047', 'B0066', 'B0066', 'B0066']",57.373642917263,41.240836064366164
21,4,6388,"['B0034', 'B0062', 'B0065', 'B0062']",50.09550000000118,13.194999939390812
22,2,4956,"['B0068', 'B0068']",40.7400000000031,18.3366666666676
23,2,3412,"['B0049', 'B0049']",56.3542500000018,33.7500000000001
24,4,4506,"['B0034', 'B0065', 'B0067', 'B0067']",46.90635944290054,19.283239056602586
25,1,795,['B0049'],58.4480000000021,36.5066666666678
26,7,24239,"['B0011', 'B0012', 'B0021', 'B0049', 'B0041', 'B0046', 'B0055']",59.674545283003056,48.682478888391145
27,6,9097,"['B0001', 'B0001', 'B0056', 'B0057', 'B0058', 'B0058']",63.1925697058154,38.90609809749725
28,2,1995,"['B0068', 'B0068']",43.6720000000008,18.6106666666674
29,1,1848,['B0060'],57.9500000000017,15.8406666666669
