,小区数,人口数,小区编号,坐标x,坐标y
0,14,22023,"['I0036', 'I0037', 'I0037', 'I0037', 'I0035', 'I0034', 'I0047', 'I0033', 'I0001', 'I0003', 'I0004', 'I0005', 'I0031', 'I0032']",31.78973322789139,32.482763427739265
1,5,11137,"['I0038', 'I0022', 'I0024', 'I0010', 'I0031']",29.373325936775547,27.711835591503732
2,23,20857,"['I0012', 'I0012', 'I0040', 'I0016', 'I0011', 'I0040', 'I0040', 'I0016', 'I0040', 'I0017', 'I0050', 'I0011', 'I0040', 'I0046', 'I0017', 'I0048', 'I0014', 'I0034', 'I0054', 'I0004', 'I0005', 'I0031', 'I0006']",42.124127904535214,43.3424329131424
3,2,2800,"['I0038', 'I0047']",20.7505000000019,27.9280000000005
4,1,3507,['I0038'],21.6497500000017,25.0960000000002
5,8,20815,"['I0038', 'I0019', 'I0022', 'I0023', 'I0024', 'I0024', 'I0025', 'I0025']",24.866749987030918,27.054666665060832
6,24,27717,"['I0044', 'I0044', 'I0045', 'I0045', 'I0041', 'I0052', 'I0051', 'I0053', 'I0046', 'I0046', 'I0011', 'I0034', 'I0026', 'I0002', 'I0002', 'I0002', 'I0001', 'I0001', 'I0004', 'I0005', 'I0031', 'I0006', 'I0032', 'I0008']",36.002580774503045,38.73274447285394
7,8,2984,"['I0005', 'I0017', 'I0014', 'I0013', 'I0001', 'I0005', 'I0031', 'I0007']",45.690750018293215,40.8956666755199
8,3,4041,"['I0023', 'I0023', 'I0035']",26.87175000000149,22.8773333333336
9,17,25585,"['I0020', 'I0018', 'I0021', 'I0035', 'I0035', 'I0021', 'I0027', 'I0029', 'I0030', 'I0039', 'I0039', 'I0028', 'I0028', 'I0004', 'I0031', 'I0032', 'I0008']",24.38425011746427,35.042333189572815
10,14,13745,"['I0043', 'I0041', 'I0041', 'I0012', 'I0046', 'I0009', 'I0011', 'I0034', 'I0001', 'I0003', 'I0005', 'I0031', 'I0031', 'I0006']",41.45576876451099,39.48746961087273
11,1,4868,['I0018'],18.8082500000029,35.8736666666673
12,21,30787,"['I0042', 'I0035', 'I0021', 'I0021', 'I0048', 'I0048', 'I0048', 'I0009', 'I0011', 'I0047', 'I0039', 'I0039', 'I0033', 'I0049', 'I0003', 'I0004', 'I0032', 'I0032', 'I0032', 'I0049', 'I0008']",30.68509103752738,36.36519699936803
