,小区数,人口数,小区编号,坐标x,坐标y
0,9,20817,"['A0059', 'A0057', 'A0069', 'A0057', 'A0069', 'A0069', 'A0057', 'A0069', 'A0059']",42.511856562888994,35.4745839372263
1,10,31146,"['A0049', 'A0051', 'A0053', 'A0049', 'A0053', 'A0053', 'A0053', 'A0053', 'A0053', 'A0053']",47.813547385292715,37.209381314532834
2,4,27460,"['A0029', 'A0027', 'A0067', 'A0067']",49.44705536700901,29.6494616409234
3,3,19360,"['A0025', 'A0054', 'A0027']",50.0287500000027,32.89999999567008
4,9,12213,"['A0057', 'A0017', 'A0059', 'A0017', 'A0017', 'A0059', 'A0017', 'A0017', 'A0059']",42.32368082619446,33.067650935939824
5,6,15461,"['A0012', 'A0014', 'A0014', 'A0014', 'A0014', 'A0014']",39.89924994768169,32.69233330326599
6,8,12046,"['A0059', 'A0011', 'A0011', 'A0059', 'A0011', 'A0059', 'A0011', 'A0054']",44.04481985175998,34.24476425673715
7,5,11334,"['A0049', 'A0048', 'A0048', 'A0048', 'A0048']",50.22059886868482,37.52023622405402
8,10,14696,"['A0054', 'A0054', 'A0054', 'A0055', 'A0054', 'A0054', 'A0054', 'A0053', 'A0054', 'A0054']",46.51867309424977,35.76020528667969
9,5,14485,"['A0056', 'A0051', 'A0051', 'A0056', 'A0051']",45.43133010489991,38.67833333333196
10,1,8963,['A0066'],37.722500000001,31.4546666666663
11,5,17676,"['A0068', 'A0016', 'A0013', 'A0016', 'A0016']",46.91299941786618,32.34366614542759
12,8,14964,"['A0065', 'A0058', 'A0030', 'A0030', 'A0065', 'A0065', 'A0026', 'A0065']",54.96190189113126,30.637766817894033
13,7,28932,"['A0040', 'A0039', 'D0004', 'A0043', 'A0042', 'A0042', 'A0042']",50.564346651339385,47.0332813283316
14,10,18490,"['A0020', 'A0024', 'A0023', 'A0020', 'A0024', 'A0020', 'A0020', 'A0023', 'A0015', 'A0020']",55.00250076903411,37.659999949338875
15,14,18070,"['A0050', 'A0052', 'A0052', 'A0052', 'A0052', 'A0052', 'A0052', 'A0060', 'A0050', 'A0062', 'A0051', 'A0050', 'A0062', 'I0014']",47.57487074600175,40.873874032455056
16,7,19572,"['A0032', 'A0032', 'A0032', 'A0046', 'A0005', 'A0047', 'A0047']",52.71950696138255,41.796666666667676
17,7,24744,"['A0035', 'A0038', 'A0035', 'A0035', 'A0034', 'A0036', 'A0036']",53.28825730979448,46.668604276176005
18,7,10883,"['A0055', 'A0055', 'A0055', 'A0055', 'A0055', 'A0055', 'A0055']",44.28884935392331,37.5233333333327
19,6,17712,"['A0064', 'A0064', 'A0017', 'A0017', 'A0064', 'A0011']",44.5020000000014,30.2343333333326
20,2,2434,"['A0031', 'A0031']",55.8715000000021,34.8163333333342
21,6,22755,"['A0021', 'A0033', 'A0033', 'A0033', 'A0005', 'A0005']",55.6550000000016,40.82154964659938
22,4,18836,"['A0028', 'A0028', 'A0010', 'A0028']",51.1017500000008,29.0256666666669
23,2,3705,"['A0030', 'A0030']",53.8205000000005,29.2243333333341
24,2,2676,"['A0018', 'A0018']",46.487250000002,28.0286666666664
25,5,18386,"['A0045', 'A0045', 'A0063', 'A0062', 'A0062']",48.5210900332642,44.42399276640873
26,6,13822,"['A0041', 'A0044', 'A0043', 'A0043', 'A0043', 'A0043']",51.167500096080616,48.69333318599883
27,10,31395,"['A0022', 'A0022', 'A0023', 'A0019', 'A0019', 'A0020', 'A0047', 'A0020', 'A0020', 'A0020']",54.01610843540436,39.490794773665606
28,5,11728,"['A0032', 'A0034', 'A0046', 'A0042', 'A0042']",51.36758331285984,43.53429281418549
29,4,13885,"['A0037', 'A0037', 'A0002', 'A0007']",55.1452500000025,46.1189999999997
30,2,11869,"['A0008', 'A0005']",57.0777500000013,39.4053333333323
31,2,5258,"['A0001', 'A0004']",57.441500000003,47.6956666666671
32,4,8705,"['A0046', 'A0047', 'A0048', 'A0050']",50.251616465179936,40.79638974184816
33,3,6750,"['A0007', 'A0003', 'A0006']",59.7397500000021,42.6829999999991
34,1,4646,['A0010'],50.2395,25.4876666666656
35,1,814,['B0036'],53.1560000000013,26.0239999999996
